"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","18201","福井県","福井市","明里町","福井(福井)","30分?60分",21000000,"160000","","420",49000,"長方形","23.0","","","","","住宅","南","市道",8.0,"準工業地域",60,200,"平成30年第１四半期","",""
2,"宅地(土地)","住宅地","18201","福井県","福井市","明里町","福井(福井)","30分?60分",8000000,"120000","","220",36000,"ほぼ台形","25.2","","","","","その他","南西","市道",11.0,"第２種住居地域",60,200,"平成29年第４四半期","",""
3,"宅地(土地と建物)","住宅地","18201","福井県","福井市","明里町","福井(福井)","29",1500000,"","","90",,"ほぼ長方形","7.0","100","昭和48年","木造","住宅","住宅","北","市道",4.0,"準工業地域",60,200,"平成29年第４四半期","",""
4,"宅地(土地)","住宅地","18201","福井県","福井市","明里町","福井(福井)","30分?60分",18000000,"160000","","370",49000,"ほぼ長方形","13.0","","","","","","北","道路",4.5,"準工業地域",60,200,"平成29年第４四半期","",""
5,"宅地(土地と建物)","住宅地","18201","福井県","福井市","明里町","福井(福井)","30分?60分",20000000,"","","270",,"正方形","16.8","450","平成2年","鉄骨造","住宅、共同住宅、店舗","住宅","北","市道",8.0,"第１種住居地域",60,200,"平成28年第３四半期","",""
6,"宅地(土地)","商業地","18201","福井県","福井市","明里町","福井(福井)","30分?60分",6800000,"70000","","320",21000,"ほぼ台形","34.5","","","","","","西","県道",20.5,"第２種住居地域",60,200,"平成27年第４四半期","",""
7,"宅地(土地)","住宅地","18201","福井県","福井市","明里町","福井(福井)","30分?60分",8800000,"87000","","330",26000,"ほぼ長方形","9.5","","","","","","北","市道",8.0,"第２種住居地域",60,200,"平成27年第４四半期","",""
8,"宅地(土地)","商業地","18201","福井県","福井市","明里町","福井(福井)","30分?60分",11000000,"110000","","320",34000,"ほぼ台形","34.5","","","","","","西","県道",20.5,"第２種住居地域",60,200,"平成27年第４四半期","",""
9,"宅地(土地)","住宅地","18201","福井県","福井市","明里町","福井(福井)","30分?60分",1900000,"67000","","95",20000,"長方形","4.6","","","","","住宅","北","市道",7.0,"第１種住居地域",60,200,"平成27年第３四半期","",""
10,"宅地(土地)","住宅地","18201","福井県","福井市","明里町","福井(福井)","30分?60分",3400000,"110000","","105",33000,"不整形","7.0","","","","","","南","道路",2.0,"準工業地域",60,200,"平成26年第２四半期","",""
11,"宅地(土地)","住宅地","18201","福井県","福井市","明里町","福井(福井)","30分?60分",5000000,"120000","","135",37000,"ほぼ長方形","7.7","","","","","","南","道路",2.0,"準工業地域",60,200,"平成26年第２四半期","",""
12,"宅地(土地)","商業地","18201","福井県","福井市","明里町","福井(福井)","30分?60分",10000000,"210000","","160",63000,"ほぼ長方形","3.4","","","","","","南","県道",13.6,"準工業地域",60,200,"平成26年第２四半期","",""
13,"宅地(土地と建物)","住宅地","18201","福井県","福井市","朝谷町","美山","16",27000000,"","","240",,"ほぼ長方形","19.5","","","","","","南東","市道",5.0,"都市計画区域外",,,"平成25年第３四半期","",""
14,"宅地(土地と建物)","住宅地","18201","福井県","福井市","味見河内町","美山","2H?",10000,"","","260",,"ほぼ台形","18.7","","","","","","南西","市道",8.5,"都市計画区域外",,,"平成29年第４四半期","",""
