"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","20",15000000,"","","810",,"不整形","22.0","50","","木造","住宅","住宅","北東","市道",2.5,"第１種住居地域",60,200,"平成30年第１四半期","",""
2,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","25",5400000,"","","135",,"不整形","15.0","95","昭和52年","木造","住宅","住宅","北東","市道",4.0,"第１種住居地域",60,200,"平成30年第１四半期","",""
3,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","21",10000000,"","","200",,"ほぼ整形","16.0","75","平成3年","木造","住宅","住宅","南西","市道",10.0,"第１種住居地域",60,200,"平成29年第３四半期","",""
4,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","21",16000000,"","","200",,"ほぼ長方形","16.0","75","平成3年","木造","住宅","住宅","西","市道",11.0,"第１種住居地域",60,200,"平成29年第３四半期","",""
5,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","19",18000000,"","","130",,"ほぼ長方形","7.0","100","昭和50年","木造","住宅","住宅","西","市道",8.0,"第１種住居地域",60,200,"平成29年第２四半期","",""
6,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","25",5800000,"140000","","135",44000,"ほぼ長方形","9.5","","","","","住宅","西","市道",4.5,"第１種住居地域",60,200,"平成29年第１四半期","",""
7,"宅地(土地と建物)","商業地","31201","鳥取県","鳥取市","相生町","鳥取","30分?60分",34000000,"","","300",,"不整形","21.0","290","平成7年","鉄骨造","事務所","事務所","南東","国道",13.0,"近隣商業地域",80,200,"平成29年第１四半期","",""
8,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","24",24000000,"","","320",,"不整形","7.5","170","平成元年","木造","住宅","住宅","東","市道",7.5,"第１種住居地域",60,200,"平成28年第４四半期","",""
9,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","19",28000000,"","","130",,"ほぼ長方形","7.5","165","平成16年","鉄骨造","住宅","","西","市道",8.0,"第１種住居地域",60,200,"平成28年第４四半期","",""
10,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","26",25000000,"","","145",,"ほぼ長方形","8.3","90","平成28年","木造","住宅","住宅","南西","市道",4.0,"近隣商業地域",80,200,"平成28年第４四半期","",""
11,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","25",7800000,"200000","","130",60000,"ほぼ長方形","7.0","","","","","住宅","西","市道",9.0,"第１種住居地域",60,200,"平成28年第３四半期","",""
12,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","21",7000000,"160000","","145",49000,"ほぼ長方形","9.5","","","","","住宅","西","市道",5.0,"第１種住居地域",60,200,"平成28年第２四半期","",""
13,"宅地(土地と建物)","商業地","31201","鳥取県","鳥取市","相生町","鳥取","21",6600000,"","","75",,"ほぼ台形","7.0","80","昭和36年","木造","住宅","","西","市道",9.0,"第１種住居地域",60,200,"平成28年第１四半期","",""
14,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","25",2000000,"120000","","55",35000,"ほぼ長方形","10.0","","","","","その他","接面道路無","",,"第１種住居地域",60,200,"平成27年第３四半期","",""
15,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","25",8500000,"140000","","200",42000,"ほぼ台形","9.0","","","","","その他","北","市道",6.0,"第１種住居地域",60,200,"平成27年第３四半期","",""
16,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","24",6000000,"","","130",,"ほぼ長方形","6.5","115","昭和33年","木造","住宅","住宅","北西","市道",4.0,"第１種住居地域",60,200,"平成27年第１四半期","",""
17,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","23",6800000,"","","140",,"ほぼ長方形","8.0","95","昭和49年","木造","住宅","住宅","南西","市道",4.0,"第１種住居地域",60,200,"平成26年第３四半期","",""
18,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","27",7100000,"180000","","130",54000,"ほぼ長方形","7.0","","","","","住宅","北東","市道",7.0,"近隣商業地域",80,300,"平成26年第３四半期","",""
19,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","25",9500000,"","","130",,"ほぼ長方形","7.0","80","昭和53年","軽量鉄骨造","住宅","住宅","北西","市道",8.0,"第１種住居地域",60,200,"平成26年第２四半期","",""
20,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","29",7200000,"170000","","135",53000,"台形","10.5","","","","","","西","市道",6.0,"第１種住居地域",60,200,"平成26年第１四半期","",""
21,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","24",7500000,"190000","","125",59000,"ほぼ長方形","9.0","","","","","","南","市道",4.0,"第１種住居地域",60,200,"平成25年第４四半期","",""
22,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","26",7200000,"170000","","140",51000,"ほぼ台形","11.0","","","","","","北東","市道",4.0,"近隣商業地域",80,300,"平成25年第４四半期","",""
23,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","19",13000000,"230000","","185",69000,"ほぼ長方形","9.5","","","","","","東","県道",15.0,"近隣商業地域",80,300,"平成25年第４四半期","",""
24,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","25",25000000,"","","145",,"ほぼ整形","10.0","105","平成25年","木造","住宅","","北西","市道",11.0,"第１種住居地域",60,200,"平成25年第３四半期","",""
25,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","24",1900000,"150000","","40",45000,"ほぼ長方形","4.0","","","","","","北東","市道",8.0,"第１種住居地域",60,200,"平成25年第２四半期","","隣地の購入"
26,"宅地(土地と建物)","商業地","31201","鳥取県","鳥取市","相生町","鳥取","18",17000000,"","","160",,"ほぼ長方形","16.0","50","平成22年","木造","事務所","","南西","県道",16.0,"近隣商業地域",80,300,"平成25年第１四半期","",""
27,"中古マンション等","","31201","鳥取県","鳥取市","青葉町","鳥取","30分?60分",19000000,"","２ＬＤＫ","80",,"","","","平成20年","ＲＣ","","住宅","","",,"近隣商業地域",80,200,"平成29年第３四半期","改装済",""
28,"宅地(土地と建物)","商業地","31201","鳥取県","鳥取市","青葉町","鳥取","27",25000000,"","","500",,"ほぼ台形","15.0","680","昭和49年","ＲＣ","事務所","事務所","南西","国道",15.0,"近隣商業地域",80,300,"平成28年第１四半期","",""
29,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青葉町","鳥取","30分?60分",6500000,"160000","","135",48000,"ほぼ正方形","11.0","","","","","住宅","南","市道",3.5,"第２種中高層住居専用地域",60,200,"平成27年第１四半期","",""
30,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青葉町","鳥取","30分?60分",10000000,"190000","","175",58000,"ほぼ台形","9.0","","","","","","西","市道",4.0,"第１種中高層住居専用地域",60,200,"平成25年第２四半期","",""
