"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","商業地","36201","徳島県","徳島市","藍場町","徳島","8",16000000,"520000","","100",160000,"ほぼ台形","9.8","","","","","店舗","南西","国道",30.0,"商業地域",80,400,"平成29年第３四半期","",""
2,"宅地(土地と建物)","商業地","36201","徳島県","徳島市","藍場町","徳島","6",21000000,"","","125",,"台形","7.6","270","昭和36年","ＲＣ","店舗","店舗","南西","国道",29.5,"商業地域",80,400,"平成29年第２四半期","",""
3,"宅地(土地と建物)","商業地","36201","徳島県","徳島市","藍場町","徳島","4",240000000,"","","520",,"台形","21.0","2000㎡以上","昭和54年","ＲＣ","事務所","事務所","北東","国道",32.0,"商業地域",80,600,"平成26年第２四半期","",""
4,"宅地(土地と建物)","商業地","36201","徳島県","徳島市","秋田町","阿波富田","13",39000000,"","","260",,"長方形","13.0","300","平成10年","鉄骨造","住宅、店舗","","西","市道",19.5,"商業地域",80,400,"平成28年第２四半期","",""
5,"宅地(土地と建物)","商業地","36201","徳島県","徳島市","秋田町","阿波富田","12",80000000,"","","140",,"ほぼ長方形","6.3","890","平成3年","鉄骨造","共同住宅、店舗","その他","東","市道",19.4,"商業地域",80,400,"平成28年第１四半期","",""
6,"宅地(土地と建物)","商業地","36201","徳島県","徳島市","秋田町","徳島","16",6600000,"","","90",,"ほぼ長方形","5.7","400","昭和53年","鉄骨造","駐車場、店舗","店舗","東","市道",20.0,"商業地域",80,400,"平成30年第２四半期","","調停・競売等"
7,"宅地(土地と建物)","商業地","36201","徳島県","徳島市","秋田町","徳島","16",45000000,"","","170",,"ほぼ長方形","7.5","630","昭和43年","ＲＣ","共同住宅、店舗","","東","市道",20.0,"商業地域",80,400,"平成30年第１四半期","",""
8,"宅地(土地と建物)","商業地","36201","徳島県","徳島市","秋田町","徳島","15",57000000,"","","100",,"ほぼ長方形","7.0","300","昭和62年","鉄骨造","店舗","","東","市道",20.0,"商業地域",80,400,"平成27年第３四半期","",""
9,"宅地(土地と建物)","商業地","36201","徳島県","徳島市","秋田町","徳島","14",110000000,"","","230",,"不整形","11.0","1100","平成3年","ＳＲＣ","店舗","店舗","東","市道",20.0,"商業地域",80,400,"平成26年第２四半期","",""
10,"宅地(土地と建物)","商業地","36201","徳島県","徳島市","秋田町","徳島","16",28000000,"","","145",,"ほぼ長方形","5.5","350","昭和49年","ＲＣ","住宅、店舗","","東","市道",20.0,"商業地域",80,400,"平成26年第１四半期","",""
11,"宅地(土地と建物)","商業地","36201","徳島県","徳島市","秋田町","徳島","15",77000000,"","","115",,"ほぼ長方形","5.5","450","昭和60年","鉄骨造","住宅、店舗","","西","市道",20.0,"商業地域",80,400,"平成26年第１四半期","",""
12,"宅地(土地と建物)","商業地","36201","徳島県","徳島市","秋田町","徳島","15",63000000,"","","140",,"長方形","7.8","510","平成3年","鉄骨造","共同住宅","","東","市道",8.0,"商業地域",80,400,"平成26年第１四半期","",""
13,"宅地(土地と建物)","商業地","36201","徳島県","徳島市","秋田町","徳島","15",45000000,"","","140",,"長方形","7.8","510","平成3年","鉄骨造","共同住宅、店舗","","東","市道",8.0,"商業地域",80,400,"平成25年第３四半期","",""
14,"宅地(土地と建物)","商業地","36201","徳島県","徳島市","秋田町","二軒屋","10",170000000,"","","210",,"不整形","8.3","","平成29年","","住宅","住宅","東","市道",20.0,"商業地域",80,400,"平成29年第２四半期","",""
15,"宅地(土地と建物)","商業地","36201","徳島県","徳島市","秋田町","二軒屋","9",10000000,"","","110",,"長方形","5.5","25","昭和59年","木造","住宅","住宅","東","市道",16.0,"商業地域",80,400,"平成26年第４四半期","",""
16,"宅地(土地)","住宅地","36201","徳島県","徳島市","鮎喰町","鮎喰","9",1900000,"170000","","35",51000,"ほぼ長方形","4.3","","","","","その他","西","市道",4.7,"第１種住居地域",60,200,"平成30年第２四半期","",""
17,"宅地(土地)","住宅地","36201","徳島県","徳島市","鮎喰町","鮎喰","15",16000000,"230000","","230",70000,"ほぼ長方形","19.8","","","","","その他","南東","市道",3.7,"第１種住居地域",60,200,"平成30年第２四半期","",""
18,"宅地(土地)","住宅地","36201","徳島県","徳島市","鮎喰町","鮎喰","13",14000000,"180000","","250",55000,"ほぼ長方形","28.9","","","","","その他","西","市道",4.2,"第１種住居地域",60,200,"平成30年第２四半期","",""
19,"宅地(土地)","住宅地","36201","徳島県","徳島市","鮎喰町","鮎喰","15",7400000,"140000","","170",43000,"ほぼ長方形","9.9","","","","","事務所","東","市道",3.7,"第１種住居地域",60,200,"平成29年第４四半期","",""
20,"宅地(土地と建物)","住宅地","36201","徳島県","徳島市","鮎喰町","鮎喰","14",21000000,"","","145",,"ほぼ長方形","14.0","105","平成28年","木造","住宅","住宅","西","道路",4.8,"第１種中高層住居専用地域",60,200,"平成29年第２四半期","",""
21,"宅地(土地)","住宅地","36201","徳島県","徳島市","鮎喰町","鮎喰","18",9000000,"170000","","175",51000,"長方形","8.6","","","","","","南","市道",4.0,"第１種中高層住居専用地域",60,200,"平成29年第１四半期","",""
22,"宅地(土地)","宅地見込地","36201","徳島県","徳島市","鮎喰町","鮎喰","8",24000000,"80000","","990",24000,"ほぼ長方形","27.3","","","","","","西","道路",4.4,"第１種住居地域",60,200,"平成28年第４四半期","",""
23,"宅地(土地と建物)","住宅地","36201","徳島県","徳島市","鮎喰町","鮎喰","9",600000,"","","35",,"ほぼ長方形","7.0","35","戦前","木造","","その他","北","市道",5.8,"第１種住居地域",60,200,"平成27年第４四半期","",""
24,"宅地(土地と建物)","住宅地","36201","徳島県","徳島市","鮎喰町","鮎喰","14",17000000,"","","100",,"不整形","","90","平成27年","木造","住宅","住宅","南","私道",5.0,"第１種住居地域",60,200,"平成27年第４四半期","",""
25,"宅地(土地)","商業地","36201","徳島県","徳島市","鮎喰町","鮎喰","13",20000000,"260000","","250",79000,"ほぼ台形","13.5","","","","","事務所","北","国道",23.0,"近隣商業地域",80,200,"平成27年第４四半期","",""
26,"宅地(土地)","住宅地","36201","徳島県","徳島市","鮎喰町","鮎喰","13",12000000,"230000","","175",69000,"長方形","9.8","","","","","","東","市道",5.3,"第１種中高層住居専用地域",60,200,"平成27年第４四半期","",""
27,"宅地(土地)","住宅地","36201","徳島県","徳島市","鮎喰町","鮎喰","13",8800000,"160000","","175",50000,"長方形","10.0","","","","","","東","市道",5.3,"第１種中高層住居専用地域",60,200,"平成27年第４四半期","",""
28,"宅地(土地)","住宅地","36201","徳島県","徳島市","鮎喰町","鮎喰","15",3000000,"30000","","330",9100,"不整形","15.0","","","","","","接面道路無","",,"第１種住居地域",60,200,"平成27年第２四半期","",""
29,"宅地(土地)","住宅地","36201","徳島県","徳島市","鮎喰町","鮎喰","15",1600000,"30000","","175",9100,"台形","13.0","","","","","","接面道路無","",,"第１種住居地域",60,200,"平成27年第２四半期","",""
30,"宅地(土地)","住宅地","36201","徳島県","徳島市","鮎喰町","鮎喰","12",13000000,"120000","","370",36000,"ほぼ長方形","10.6","","","","","住宅","南","市道",6.0,"第１種住居地域",60,200,"平成27年第１四半期","",""
31,"宅地(土地と建物)","住宅地","36201","徳島県","徳島市","鮎喰町","鮎喰","13",26000000,"","","150",,"ほぼ長方形","6.3","110","平成26年","木造","住宅","住宅","北","市道",3.5,"第１種中高層住居専用地域",60,200,"平成26年第３四半期","",""
32,"宅地(土地)","住宅地","36201","徳島県","徳島市","鮎喰町","鮎喰","19",9000000,"180000","","165",54000,"ほぼ長方形","14.1","","","","","住宅","北","市道",4.0,"第１種中高層住居専用地域",60,200,"平成26年第２四半期","",""
33,"宅地(土地と建物)","住宅地","36201","徳島県","徳島市","鮎喰町","鮎喰","13",8400000,"","","90",,"ほぼ長方形","8.5","85","昭和56年","木造","住宅","","東","市道",5.0,"第１種中高層住居専用地域",50,200,"平成26年第１四半期","",""
34,"宅地(土地)","住宅地","36201","徳島県","徳島市","鮎喰町","鮎喰","13",9500000,"180000","","175",55000,"ほぼ長方形","9.5","","","","","","東","市道",5.5,"第１種中高層住居専用地域",60,200,"平成26年第１四半期","",""
35,"宅地(土地と建物)","住宅地","36201","徳島県","徳島市","鮎喰町","鮎喰","12",8600000,"","","380",,"ほぼ長方形","10.0","220","昭和42年","ＲＣ","住宅、店舗","","南","市道",6.0,"第１種住居地域",60,200,"平成26年第１四半期","","調停・競売等"
36,"宅地(土地)","住宅地","36201","徳島県","徳島市","鮎喰町","鮎喰","13",8000000,"160000","","165",48000,"長方形","10.0","","","","","","北東","市道",5.3,"第１種中高層住居専用地域",60,200,"平成25年第４四半期","",""
37,"宅地(土地)","住宅地","36201","徳島県","徳島市","鮎喰町","鮎喰","17",1600000,"35000","","150",11000,"長方形","15.6","","","","","","西","市道",4.1,"第１種住居地域",60,200,"平成25年第２四半期","",""
38,"宅地(土地と建物)","住宅地","36201","徳島県","徳島市","鮎喰町","鮎喰","11",12000000,"","","140",,"ほぼ長方形","9.8","125","平成7年","木造","住宅","","南西","市道",2.5,"第１種住居地域",60,200,"平成25年第１四半期","",""
39,"農地","","36201","徳島県","徳島市","鮎喰町","","",3000000,"","","560",,"","","","","","","","","",,"",,,"平成27年第１四半期","",""
40,"宅地(土地)","住宅地","36201","徳島県","徳島市","安宅","徳島","30分?60分",18000000,"240000","","250",73000,"ほぼ長方形","16.3","","","","","住宅","東","市道",3.7,"第１種住居地域",60,200,"平成30年第２四半期","",""
41,"宅地(土地と建物)","住宅地","36201","徳島県","徳島市","安宅","徳島","30分?60分",23000000,"","","170",,"ほぼ整形","10.0","135","平成13年","木造","住宅","住宅","北","市道",5.0,"第１種住居地域",60,200,"平成30年第１四半期","",""
42,"宅地(土地)","住宅地","36201","徳島県","徳島市","安宅","徳島","30分?60分",100000000,"150000","","2000㎡以上",45000,"不整形","25.2","","","","","その他","東","市道",4.4,"第１種住居地域",60,200,"平成29年第２四半期","",""
43,"宅地(土地と建物)","商業地","36201","徳島県","徳島市","安宅","徳島","29",22000000,"","","170",,"ほぼ長方形","9.0","210","昭和61年","軽量鉄骨造","住宅、店舗","","南","県道",24.0,"近隣商業地域",80,200,"平成28年第４四半期","",""
44,"宅地(土地)","住宅地","36201","徳島県","徳島市","安宅","徳島","30分?60分",10000000,"230000","","140",71000,"ほぼ台形","13.0","","","","","その他","北","市道",4.0,"第１種住居地域",60,200,"平成28年第３四半期","",""
45,"宅地(土地)","住宅地","36201","徳島県","徳島市","安宅","徳島","28",12000000,"280000","","140",85000,"長方形","8.0","","","","","","北","市道",6.0,"準工業地域",60,200,"平成28年第３四半期","",""
46,"宅地(土地)","住宅地","36201","徳島県","徳島市","安宅","徳島","30分?60分",17000000,"250000","","230",76000,"ほぼ正方形","16.0","","","","","住宅","南東","市道",9.0,"第１種住居地域",60,200,"平成27年第４四半期","",""
