user_id,order_date,order_amount
190,2017/1/18,6874
55,2017/6/11,6310
728,2017/2/1,243
560,2016/7/19,7364
839,2017/10/22,3244
574,2017/1/27,6385
710,2017/4/26,365
569,2016/10/1,2636
637,2016/8/23,7690
560,2016/7/22,5919
121,2017/4/7,2812
252,2016/7/26,8479
147,2017/5/10,1968
110,2017/2/21,3403
140,2016/7/16,1497
59,2017/1/12,9716
567,2017/2/22,8614
897,2017/9/22,9385
658,2016/9/20,1823
63,2017/4/6,3130
114,2016/9/9,9801
50,2017/10/16,5295
23,2016/9/16,7554
449,2017/3/20,4562
91,2017/6/24,7229
47,2017/4/2,4945
908,2017/4/15,7193
32,2017/2/4,8979
984,2017/5/30,8839
684,2017/7/22,4989
195,2017/4/9,7666
937,2017/11/17,63
706,2017/10/11,513
471,2017/1/30,7263
409,2017/5/14,770
591,2017/3/19,4313
76,2017/3/6,2789
644,2016/8/28,1154
431,2016/11/5,8473
665,2017/11/20,2688
652,2016/7/31,7793
389,2017/5/26,9337
141,2016/9/7,6678
508,2017/1/30,1451
768,2017/10/15,3023
808,2017/4/18,5599
883,2017/11/20,7152
225,2017/7/11,2238
60,2017/4/11,7628
528,2017/3/18,3615
225,2016/7/25,3389
283,2017/2/6,4425
241,2017/11/3,2417
243,2017/8/9,3057
947,2016/11/29,6033
214,2016/7/29,7677
511,2017/3/18,1358
790,2017/5/24,6532
747,2017/1/4,9009
546,2017/1/8,2415
435,2016/9/16,3772
896,2017/3/9,5956
848,2017/5/30,5810
357,2016/10/4,9769
990,2017/2/7,7652
12,2017/3/5,3497
665,2017/8/23,5474
872,2017/6/26,9870
841,2017/3/30,7178
279,2016/8/3,3227
701,2017/8/11,1987
752,2016/8/4,8989
763,2016/10/10,9794
935,2016/12/9,3877
265,2016/8/8,1257
823,2016/7/20,7603
333,2016/12/17,8715
15,2017/10/8,2454
850,2017/1/24,880
400,2016/8/13,5704
487,2017/6/28,4606
635,2017/8/26,3530
368,2017/5/12,9850
547,2016/9/24,2980
350,2016/10/7,1615
568,2016/12/30,2288
565,2017/3/14,9134
193,2017/2/1,2229
971,2017/1/21,5093
167,2017/5/18,5750
60,2017/11/14,2127
503,2017/2/28,8811
695,2016/9/22,1527
268,2017/10/20,322
364,2017/8/2,8515
577,2017/9/1,8891
83,2017/11/19,7194
868,2017/6/2,1731
256,2017/11/1,4795
560,2016/12/2,1464
289,2016/7/29,8574
537,2016/10/31,3553
614,2016/9/22,7630
58,2017/8/27,984
753,2016/11/20,8989
95,2017/11/2,2710
759,2016/8/17,5222
785,2016/12/28,5529
828,2016/10/2,7104
135,2017/2/21,7126
484,2017/3/24,2219
580,2017/10/25,5994
258,2017/11/19,6739
953,2016/10/29,3065
971,2017/5/16,7510
736,2016/10/26,8178
521,2017/6/7,4932
805,2016/12/2,7457
58,2017/11/2,4211
534,2016/10/26,308
536,2017/7/13,2402
130,2017/1/31,6896
261,2017/11/20,6503
851,2017/3/16,9407
171,2017/5/23,4627
411,2017/5/26,3992
133,2016/11/19,4343
735,2017/11/7,8274
890,2017/6/19,1050
18,2017/3/28,1931
344,2017/1/7,805
778,2017/4/13,229
660,2017/5/16,5834
921,2017/5/15,1939
707,2016/12/14,4788
151,2017/1/9,7298
621,2017/6/7,7191
752,2017/2/8,6424
846,2016/8/7,4852
922,2017/10/23,3167
375,2016/12/23,467
900,2016/9/28,4572
427,2017/8/28,230
789,2017/7/21,5548
99,2017/3/15,399
961,2017/6/18,9722
999,2016/10/28,2338
642,2016/12/2,6592
604,2016/9/8,2257
488,2017/4/16,4143
421,2016/12/13,6551
665,2017/7/20,1882
756,2017/4/26,3837
66,2017/6/4,8250
668,2017/2/25,8254
960,2017/5/8,2131
127,2017/11/8,7570
23,2017/8/25,4832
413,2017/3/28,8809
186,2017/11/19,3235
448,2016/10/9,9505
363,2017/1/27,7795
930,2017/7/17,97
617,2017/10/28,7273
147,2016/8/17,6277
21,2017/8/13,6218
341,2017/6/2,7769
464,2016/8/29,7801
641,2017/11/18,5140
785,2016/8/24,7637
980,2017/3/10,7522
595,2016/7/19,8183
340,2017/7/11,8162
78,2016/8/10,2866
992,2017/4/13,2440
483,2017/6/20,2469
16,2017/10/24,8110
985,2017/5/23,9898
306,2017/9/13,8645
68,2017/6/2,6805
705,2016/8/5,8270
131,2017/7/15,1987
608,2017/4/21,7434
816,2016/10/2,2224
804,2017/9/5,5902
617,2017/4/11,9974
566,2016/11/11,4655
699,2016/10/11,5106
863,2017/7/3,9977
676,2017/2/14,5832
260,2016/8/18,4090
607,2017/9/14,1300
266,2017/9/20,2044
38,2016/12/8,3435
489,2017/10/17,3908
709,2017/3/8,3937
528,2017/1/14,6569
140,2017/7/5,1453
321,2017/9/6,112
372,2017/9/22,584
433,2017/2/24,3089
499,2017/3/15,1484
705,2016/7/10,3818
0,2017/3/28,7100
484,2017/2/26,3198
342,2017/1/10,7304
152,2016/10/18,880
959,2017/9/18,5700
372,2017/5/22,9325
262,2017/1/1,5104
679,2016/8/25,2849
165,2017/6/8,9228
829,2016/8/21,7726
13,2016/9/18,1975
484,2016/7/11,2875
381,2016/12/27,7854
565,2016/7/28,3618
228,2017/2/26,9943
